2025-04-29 09:19:11.255 | INFO     | __main__:main:110 - Starting WhatsApp voice note transcription process
2025-04-29 09:19:11.255 | INFO     | __main__:setup_directories:30 - Directories setup complete
2025-04-29 09:19:11.361 | SUCCESS  | __main__:convert_opus_to_wav:62 - Converted PTT-20250428-WA0014.opus to WAV
2025-04-29 09:19:11.361 | INFO     | __main__:process_files:95 - Transcribing PTT-20250428-WA0014.wav
2025-04-29 09:19:16.227 | ERROR    | __main__:transcribe_audio:78 - Error transcribing PTT-20250428-WA0014.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:19:16.227 | ERROR    | __main__:process_files:104 - Failed to process PTT-20250428-WA0014.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:19:16.289 | SUCCESS  | __main__:convert_opus_to_wav:62 - Converted PTT-20250428-WA0015.opus to WAV
2025-04-29 09:19:16.290 | INFO     | __main__:process_files:95 - Transcribing PTT-20250428-WA0015.wav
2025-04-29 09:19:19.535 | ERROR    | __main__:transcribe_audio:78 - Error transcribing PTT-20250428-WA0015.wav: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:19:19.535 | ERROR    | __main__:process_files:104 - Failed to process PTT-20250428-WA0015.opus: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2025-04-29 09:19:19.646 | SUCCESS  | __main__:convert_opus_to_wav:62 - Converted PTT-20250428-WA0012.opus to WAV
